kmeans
compression-ratio,8.0,16.0,32.0
BLEU4 (0),34.22,34.06,34.18
BLEU4 (1),33.99,34.0,34.0
BLEU4 (2),34.26,34.12,34.03
BLEU4 (3),33.92,33.82,33.98
BLEU4 (4),33.93,34.0,34.01
BLEU4 (avg.),34.064,34.0,34.04
BLEU4 (st. dev.),0.14623269128344604,0.10039920318408863,0.07183313998427243
uniform (adaptive-det)
compression-ratio,8.0,16.0,32.0
BLEU4 (0),34.21,34.06,34.06
BLEU4 (1),34.05,34.01,34.04
BLEU4 (2),34.08,33.93,34.07
BLEU4 (3),34.0,33.99,33.84
BLEU4 (4),33.91,34.04,33.97
BLEU4 (avg.),34.05,34.006,33.995999999999995
BLEU4 (st. dev.),0.09859006035093104,0.0449888875168083,0.0854634424768851
DCCL
compression-ratio,8.0,16.0,32.0
BLEU4 (0),34.01,34.16,34.21
BLEU4 (1),33.95,34.08,34.11
BLEU4 (2),34.06,34.04,34.07
BLEU4 (3),33.9,34.08,34.04
BLEU4 (4),34.0,34.08,33.89
BLEU4 (avg.),33.984,34.088,34.064
BLEU4 (st. dev.),0.05462600113499118,0.03919183588453001,0.10423051376636311
Dim. reduction
compression-ratio,1.0,1.5,3.0,6.0
BLEU4 (0),34.01,34.18,33.98,34.04
BLEU4 (1),34.01,34.0,34.13,33.93
BLEU4 (2),34.16,34.02,33.99,34.11
BLEU4 (3),34.09,34.07,33.96,33.81
BLEU4 (4),33.8,33.78,33.88,34.14
BLEU4 (avg.),34.013999999999996,34.010000000000005,33.988,34.00599999999999
BLEU4 (st. dev.),0.12076423311560487,0.1308434178703686,0.08084553172563118,0.12175385004179468
